iso_i,iso_n,country_i,country_n,date,dD_hat_c,dS_hat_c
FIN,ROU,finland,romania,162,1.4646297,0.92144915
FIN,KOR,finland,southkorea,162,1.2202535,0.95610964
FIN,ESP,finland,spain,162,0.99592959,0.9492299
FIN,SWE,finland,sweden,162,0.97300994,0.98138837
FIN,GBR,finland,unitedkingdom,162,1.0146786,0.93088325
FIN,USA,finland,unitedstates,162,0.9840666,0.97014464
FIN,ROW,finland,zz_row,162,1.0130975,0.99661899
DEU,AUT,germany,austria,162,1.0028863,0.97493621
DEU,CAN,germany,canada,162,1.0198993,1.0266675
DEU,CZE,germany,czechrepublic,162,1.0447601,1.0275291
DEU,DNK,germany,denmark,162,1.0189986,0.97927619
DEU,FIN,germany,finland,162,1.0045921,1.029144
DEU,DEU,germany,germany,162,1,1
DEU,GRC,germany,greece,162,1.0571324,1.009143
DEU,IND,germany,india,162,0.9702996,1.049838
DEU,ITA,germany,italy,162,0.96354251,0.95972135
DEU,JPN,germany,japan,162,1.0228701,1.0152166
DEU,MEX,germany,mexico,162,1.000765,1.0278639
DEU,POL,germany,poland,162,1.0220331,1.0547249
DEU,ROU,germany,romania,162,1.0809676,1.0490773
DEU,KOR,germany,southkorea,162,1.0503853,1.0274408
DEU,ESP,germany,spain,162,0.96773566,0.99495576
DEU,SWE,germany,sweden,162,0.94881706,0.99372683
DEU,GBR,germany,unitedkingdom,162,1.0098876,0.96167819
